,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
95,Por Qué Me Enamoré?,Mis Mejores Recuerdos,Tito Nieves,2013-11-19,262200,4,0.79,0.286,0.79,0.911,1.78e-06,0.0828,-2.314,0.0501,90.606,4
96,Imagínate,Mis Mejores Recuerdos,Tito Nieves,2013-11-19,255720,3,0.677,0.434,0.677,0.895,0.000293,0.303,-3.312,0.0541,193.1,4
97,Chiquita,Mis Mejores Recuerdos,Tito Nieves,2013-11-19,290906,3,0.784,0.374,0.784,0.882,0.000135,0.331,-2.684,0.0388,94.932,4
98,Te Caigo a Besos,Mis Mejores Recuerdos,Tito Nieves,2013-11-19,269573,3,0.649,0.329,0.649,0.936,4.81e-06,0.0979,-1.507,0.0646,180.479,4
99,El Amor Todo Lo Puede,Mis Mejores Recuerdos,Tito Nieves,2013-11-19,264626,3,0.857,0.385,0.857,0.853,6.1e-06,0.318,-1.769,0.0503,93.982,4
100,Por Qué Me Enamoré? - Versión Vallenato,Mis Mejores Recuerdos,Tito Nieves,2013-11-19,217800,2,0.787,0.212,0.787,0.799,0.0,0.0611,-2.134,0.0442,136.023,4
101,Dos,En el Estudio de Cerca y Personal,Tito Nieves,2013-09-24,271800,5,0.705,0.095,0.705,0.797,0.0,0.283,-5.726,0.0445,100.641,4
102,Eres Linda,En el Estudio de Cerca y Personal,Tito Nieves,2013-09-24,271733,14,0.677,0.0718,0.677,0.779,0.0,0.183,-7.355,0.0418,93.179,4
103,Ojala,En el Estudio de Cerca y Personal,Tito Nieves,2013-09-24,272733,4,0.733,0.13,0.733,0.902,0.0,0.18,-4.127,0.0453,103.554,4
104,Este Amor de los Dos (Asi Te Olvide),En el Estudio de Cerca y Personal,Tito Nieves,2013-09-24,250000,5,0.665,0.192,0.665,0.75,0.0,0.0678,-7.402,0.0453,99.943,4
105,Por Eso Estoy Contigo,En el Estudio de Cerca y Personal,Tito Nieves,2013-09-24,221133,4,0.61,0.277,0.61,0.658,0.0,0.827,-5.919,0.0511,113.82,4
